,Unnamed: 0,MB Genre,Artist Name,Release,Song Title,Artist Location,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
17,17,0,Faiz Ali Faiz,Panjtan Ka Ghulam,Sohna Nee Sohna Data,,599.24853,6,0.06,1,0.346,-8.032,99.273,4,0.158,1.193,679.0,633.0,327.0,221.0,351.0,487.0,309.0,99.0,36.0,43.0,88.0,73.0
18,18,hard rock,Tesla,Gold,Caught In A Dream,,290.29832,7,0.725,1,0.756,-5.271,150.062,4,0.931,0.145,515.0,67.0,53.0,17.0,32.0,57.0,12.0,33.0,10.0,31.0,2.0,2.0
19,19,breakbeat,lextrical,Whatever Happened To Boredom?,Synthetic Dream,,165.69424,7,0.011,1,0.568,-6.787,138.331,4,0.127,0.162,325.0,3.0,28.0,5.0,5.0,11.0,0.0,209.0,0.0,13.0,0.0,0.0
20,20,0,Jimmy Wakely,1942-1952 Jimmy Wakely,Broken-Down Merry-Go-Round,"Mineola, AR",151.84934,1,0.799,1,0.716,-15.221,86.186,3,0.929,2.827,119.0,44.0,76.0,38.0,38.0,39.0,15.0,30.0,14.0,5.0,6.0,2.0
21,21,blues,Alice Stuart,All The Good Times,Kassie Jones,Washington,220.78649,11,0.809,1,0.521,-8.514,110.382,1,0.192,0.206,305.0,112.0,33.0,63.0,98.0,101.0,20.0,11.0,34.0,33.0,15.0,2.0
22,22,0,Elena,Un cafe_ setanta matins,Setanta matins,Dubai UAE,269.58322,2,0.596,1,0.666,-8.05,111.874,4,1.0,0.0,198.0,44.0,53.0,52.0,47.0,66.0,23.0,52.0,14.0,39.0,5.0,11.0
23,23,math rock,The Dillinger Escape Plan,Miss Machine,Setting Fire to Sleeping Giants,"Morris Plains, NJ",207.77751,7,0.381,1,0.453,-4.264,166.862,4,0.0,0.061,157.0,75.0,64.0,51.0,66.0,52.0,22.0,54.0,27.0,56.0,35.0,59.0
24,24,country,SUE THOMPSON,Sue Thompson - Her Very Best,James (Hold The Ladder Steady),"Nevada, MO",124.86485,10,0.697,1,0.541,-12.332,137.522,4,0.0,0.0,177.0,50.0,41.0,28.0,25.0,76.0,54.0,11.0,29.0,24.0,7.0,12.0
25,25,0,Five Bolt Main,Live,Made Like This (Live),,225.09669,7,0.53,1,0.512,-5.908,164.672,1,0.0,0.0,150.0,102.0,81.0,77.0,41.0,49.0,40.0,44.0,18.0,17.0,14.0,6.0
26,26,0,Clp,Strictly Confidential,Superconfidential,,338.31138,6,0.687,0,0.486,-6.486,125.006,4,1.0,0.0,520.0,207.0,159.0,233.0,45.0,146.0,31.0,88.0,90.0,28.0,202.0,65.0
27,27,0,Tim Wilson,The Real Twang Thang,I Think My Wife Is Running Around On Me (Taco Hell),Georgia,186.48771,5,0.762,1,0.539,-4.516,90.022,1,0.971,1.083,287.0,52.0,42.0,19.0,30.0,85.0,11.0,57.0,8.0,15.0,43.0,12.0
28,28,jazz,Willie Bobo,Willie Bobo's Finest Hour,Spanish Grease,"New York, NY [Spanish Harlem]",168.25424,8,0.812,1,0.736,-9.616,127.025,4,0.792,0.2,158.0,96.0,40.0,68.0,14.0,44.0,54.0,22.0,39.0,4.0,8.0,4.0
29,29,blues,Faye Adams,Shake A Hand,Crazy Mixed Up World,"Newark, NJ",156.39465,8,0.569,1,0.495,-18.051,95.957,3,0.689,0.562,93.0,68.0,79.0,45.0,34.0,28.0,27.0,33.0,11.0,10.0,5.0,0.0
30,30,folk rock,Terry Callier,Occasional Rain,Do You Finally Need A Friend,Chicago,342.56934,6,0.381,1,0.538,-11.939,110.189,3,0.353,0.063,348.0,107.0,73.0,47.0,32.0,126.0,31.0,40.0,26.0,32.0,24.0,10.0
31,31,rock,John Wesley,The Emperor Falls,The Emperor Falls,Brandon,484.62322,4,0.283,0,0.363,-15.335,138.007,4,0.893,28.172,360.0,163.0,249.0,185.0,98.0,59.0,53.0,120.0,30.0,61.0,39.0,147.0
32,32,pop,The Shangri-Las,Best of The Shangri-Las,Twist and Shout,"Queens, NY",164.80608,10,0.254,1,0.042,-10.922,130.1,1,0.0,0.0,176.0,78.0,40.0,40.0,31.0,25.0,27.0,63.0,40.0,11.0,33.0,29.0
33,33,country,Billie Jo Spears,20 Of Her Best,It Makes No Difference Now,"Beaumont, TX",133.32853,4,0.384,1,0.402,-9.983,160.839,1,0.0,0.0,73.0,91.0,63.0,62.0,34.0,36.0,22.0,41.0,18.0,23.0,18.0,10.0
34,34,dirty south,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,Laws Patrolling (Album Version),"Houston, TX",173.66159,7,0.299,1,0.464,-7.762,41.993,1,0.0,0.0,178.0,125.0,39.0,98.0,59.0,109.0,49.0,28.0,15.0,21.0,43.0,15.0
35,35,jazz,Sierra Maestra,Tibiri Tabara,¿Dónde va Chichi?,,313.12934,9,0.724,1,0.364,-9.512,189.646,3,0.674,0.0,397.0,189.0,95.0,147.0,107.0,118.0,51.0,122.0,106.0,69.0,38.0,29.0
36,36,alternative rock,Butthole Surfers,Piouhgd + Widowermaker!,"Barking Dogs (From ""Piouhgd"")","San Antonio, TX",450.84689,4,0.726,0,0.367,-9.063,130.586,4,0.42,0.467,832.0,204.0,21.0,68.0,251.0,68.0,44.0,29.0,39.0,36.0,14.0,11.0
37,37,dance-pop,Despina Vandi,Profities,OUTE ENA EFHARISTO,,303.09832,8,0.532,0,0.516,-8.879,128.292,4,0.83,0.067,447.0,99.0,116.0,46.0,42.0,56.0,21.0,81.0,25.0,44.0,17.0,7.0
38,38,classical,Javier Navarrete,Cracks,Midnight Swim,,128.83546,3,0.0,1,0.251,-17.699,90.932,3,1.0,0.0,130.0,5.0,5.0,33.0,30.0,7.0,0.0,47.0,3.0,0.0,8.0,0.0
39,39,drone,Jacob Young,Pieces Of Time,In A Subtle Way,,456.30649,1,0.611,1,0.546,-19.478,89.667,4,0.747,0.241,566.0,299.0,171.0,180.0,211.0,311.0,86.0,80.0,78.0,39.0,45.0,5.0
40,40,0,Scarlet's Remains,The Palest Grey,Spin,California - LA,198.73914,7,0.673,1,0.579,-7.469,115.061,4,0.731,0.0,188.0,66.0,64.0,28.0,14.0,34.0,42.0,57.0,29.0,40.0,3.0,3.0
41,41,pop punk,The Suicide Machines,A Match & Some Gasoline,Burning In The Aftermath,"Detroit, MI",95.68608,2,0.421,1,0.589,-2.022,115.887,4,0.744,0.0,78.0,57.0,30.0,9.0,9.0,46.0,10.0,29.0,10.0,1.0,3.0,1.0
42,42,blues,The Rolling Stones,Jump Back - The Best Of The Rolling Stones_ '71-'93,Angie (1993 Digital Remaster),"London, England",271.49016,9,0.301,0,0.392,-10.358,139.333,1,0.0,0.171,438.0,31.0,90.0,29.0,34.0,109.0,18.0,58.0,9.0,21.0,1.0,8.0
43,43,0,Roberto Torres,Lo Mejor con La Orq. Broadway,Sabor Guajiro,,226.66404,0,0.863,1,0.671,-12.716,117.271,4,0.453,0.311,362.0,47.0,164.0,25.0,53.0,68.0,6.0,45.0,2.0,2.0,1.0,1.0
44,44,folk,Loudon Wainwright III,Grown Man,Human Cannonball,"Chapel Hill, NC",190.48444,3,0.544,1,0.596,-15.663,102.428,4,0.496,0.258,182.0,56.0,53.0,68.0,42.0,28.0,13.0,41.0,24.0,3.0,20.0,1.0
45,45,blues,R.L. Burnside,A Bothered Mind,Glory Be,"Oxford, MS",277.78567,2,0.0,1,0.0,-6.944,89.984,4,0.0,0.24,432.0,91.0,98.0,98.0,70.0,83.0,50.0,55.0,32.0,15.0,2.0,3.0
46,46,blues,Stevie Ray Vaughan,Greatest Hits,Crossfire,"Dallas, TX",248.78975,1,0.754,1,0.597,-7.805,116.721,4,0.522,0.183,191.0,33.0,121.0,47.0,72.0,60.0,27.0,83.0,31.0,80.0,77.0,0.0
47,47,folk,John Hammond,Bluesman,I Can't Be Satisfied,,195.3171,7,0.98,1,0.753,-10.7,123.142,4,0.678,0.0,152.0,102.0,131.0,78.0,38.0,63.0,43.0,81.0,20.0,22.0,27.0,9.0
48,48,electronic,Casiotone For The Painfully Alone,Etiquette,Nashville Parthenon,,175.72526,0,0.522,1,0.474,-10.93,141.919,4,0.445,0.734,329.0,125.0,40.0,20.0,56.0,65.0,49.0,38.0,32.0,29.0,114.0,81.0
49,49,breakcore,Ec8or,Ec8or,Cocain Ducks,"Berlin, Germany",217.23383,10,0.005,0,0.305,-9.493,95.596,4,1.0,1.042,168.0,115.0,26.0,30.0,70.0,57.0,50.0,18.0,10.0,25.0,62.0,66.0
50,50,blues rock,The New York Dolls,Too Much Too Soon,Human Being,"New York, NY",344.05832,11,0.425,1,0.486,-9.253,154.953,1,0.0,0.068,586.0,83.0,38.0,76.0,37.0,37.0,11.0,91.0,41.0,6.0,28.0,106.0
51,51,jazz,Eliane Elias,Bossa Nova Stories,The More I See You,"Sao Paulo, Brazil",251.42812,7,0.391,1,0.319,-12.009,86.091,5,0.551,0.071,252.0,64.0,144.0,68.0,56.0,113.0,20.0,103.0,16.0,21.0,21.0,8.0
52,52,hip hop,Lost Boyz,Love_ Peace & Nappiness,Certain Things We Do,"South Jamaica, Queens",269.7922,7,0.715,1,0.614,-11.043,90.218,4,1.0,0.218,234.0,192.0,70.0,76.0,74.0,55.0,43.0,68.0,68.0,59.0,74.0,72.0
53,53,punk,The Germs,Germicide,Forming,"Los Angeles, CA",206.05342,11,0.641,0,0.597,-11.506,133.144,1,0.0,0.0,325.0,104.0,69.0,31.0,27.0,64.0,15.0,54.0,17.0,30.0,22.0,66.0
54,54,electronic,Chris Rea,The Road To Hell Part 2,Driving Home For Christmas,"Middlesbrough, England",241.162,9,0.222,1,0.403,-8.531,180.149,4,0.0,0.549,297.0,152.0,106.0,66.0,44.0,96.0,14.0,83.0,57.0,54.0,21.0,20.0
55,55,electronic,Perrey And Kingsley,Vanguard Visionaries,Spooks In Space,,122.64444,0,0.61,0,0.489,-8.541,102.538,4,0.869,0.99,118.0,75.0,57.0,96.0,17.0,33.0,20.0,33.0,30.0,27.0,28.0,2.0
56,56,dance-rock,Eurythmics,Be Yourself Tonight,Tous Les Garçons Et Les Filles,"London, England",207.0722,0,0.442,1,0.371,-6.629,84.164,4,0.853,2.583,397.0,110.0,39.0,29.0,26.0,65.0,11.0,25.0,9.0,17.0,4.0,9.0
57,57,acoustic rock,Francis Dunnery,Hometown 2001,Too Much Saturn,"Egremont, Cumbria, England",300.79955,7,0.666,1,0.658,-13.33,124.175,4,0.698,0.0,382.0,80.0,193.0,77.0,61.0,64.0,30.0,87.0,6.0,53.0,14.0,47.0
58,58,electronic,John Cale,Eat / Kiss: Music For The Films By Andy Warhol,Movement 4 [from Kiss] (Album Version),"Garnant, Wales",228.46649,7,0.458,1,0.602,-12.412,137.004,1,0.0,0.0,385.0,16.0,141.0,41.0,15.0,54.0,5.0,75.0,2.0,15.0,0.0,7.0
59,59,0,Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,Stream,California - SF,239.59465,7,0.527,1,0.613,-21.552,106.33,4,0.526,0.311,351.0,32.0,50.0,29.0,27.0,60.0,3.0,99.0,9.0,27.0,0.0,6.0
60,60,0,Vickie Winans,Classic Gold: Best of All,Make Me Over,,228.93669,11,0.172,0,0.369,-8.686,107.961,4,1.0,0.338,198.0,119.0,134.0,102.0,54.0,39.0,38.0,48.0,20.0,25.0,30.0,30.0
61,61,electronic,The Berzerker,The Berzerker,Deform (live),"Melbourne, Australia",165.61587,1,0.108,1,0.256,-6.222,174.287,3,0.132,2.171,149.0,125.0,76.0,45.0,27.0,48.0,48.0,50.0,33.0,18.0,12.0,10.0
62,62,rock,Kings Of Leon,Holy Roller Novocaine,Wicker Chair,"Nashville, Tennessee",187.92444,0,0.612,1,0.735,-5.907,116.823,4,0.347,0.328,202.0,47.0,55.0,15.0,51.0,57.0,16.0,21.0,7.0,18.0,7.0,7.0
63,63,ballad,Taras,I Will Love Again,I Will Love Again (JJ's Club Radio),,200.25424,11,0.056,0,0.283,-5.884,127.97,4,0.0,0.0,207.0,25.0,32.0,63.0,6.0,31.0,10.0,6.0,172.0,3.0,166.0,20.0
64,64,hardcore punk,NOFX,White Trash ......,Stickin In My Eye,"Berkeley, CA",144.50893,4,0.093,0,0.423,-7.787,152.622,4,0.358,0.237,204.0,81.0,39.0,64.0,29.0,32.0,23.0,47.0,11.0,4.0,16.0,25.0
65,65,0,Murskahumppa,Murskapunkkia,Ota kiinni,,285.17832,7,0.379,1,0.401,-8.488,110.787,3,1.0,0.0,287.0,101.0,57.0,34.0,24.0,13.0,20.0,61.0,19.0,20.0,6.0,4.0
66,66,0,Bruce Rowland,The Man from Snowy River,Rosemary Recalls,AUSTRALIA,84.03546,7,0.469,1,0.591,-26.266,115.642,4,0.44,0.328,117.0,18.0,21.0,5.0,6.0,4.0,2.0,7.0,0.0,4.0,0.0,1.0
67,67,ambient,Xcultures,One World One People,Sudanese Dance,,273.52771,1,0.652,1,0.694,-6.305,125.013,4,1.0,2.177,169.0,100.0,69.0,148.0,45.0,48.0,131.0,97.0,112.0,33.0,126.0,208.0
68,68,christian rock,White Heart,Tales Of Wonder,Where The Thunder Roars (Tales Of Wonder Album Version),,298.84036,5,0.596,1,0.567,-9.998,113.277,4,0.872,19.093,431.0,114.0,67.0,48.0,30.0,36.0,17.0,53.0,19.0,17.0,48.0,13.0
69,69,hip hop,Heavy D / McGruff,Waterbed Hev,Wanna Be A Player,"Jamaica, West Indies",161.38404,5,0.665,0,0.606,-9.161,96.979,4,0.895,0.165,149.0,232.0,123.0,114.0,64.0,44.0,34.0,21.0,21.0,6.0,3.0,9.0
70,70,arena rock,Van Halen,The Best Of Both Worlds,Panama (Remastered Album Version),"Pasadena, CA",209.29261,8,0.455,1,0.48,-4.865,140.995,1,0.41,0.0,276.0,92.0,47.0,54.0,45.0,48.0,26.0,69.0,30.0,5.0,14.0,16.0
71,71,0,Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Let's Get It Started,"Los Angeles, CA",229.61587,11,0.205,0,0.332,-4.882,105.206,4,1.0,0.0,165.0,108.0,93.0,52.0,47.0,166.0,56.0,77.0,38.0,23.0,35.0,8.0
72,72,alternative metal,Nine Inch Nails,Things Falling Apart,Metal,"Cleveland, OH",426.89261,0,0.05,0,0.395,-12.951,63.017,4,0.378,0.286,656.0,38.0,34.0,23.0,48.0,57.0,5.0,6.0,3.0,10.0,1.0,6.0
73,73,alternative rock,Nick Cave & The Bad Seeds,Your Funeral... My Trial (2009 Digital Remaster),She Fell Away (2009 Digital Remaster),,269.26975,9,0.052,0,0.142,-11.751,144.603,4,0.0,3.889,241.0,133.0,121.0,49.0,55.0,34.0,20.0,157.0,66.0,64.0,7.0,4.0
74,74,0,Nadine Renee,Oasis of Love,Next Time,,249.41669,2,0.883,1,0.728,-6.693,167.92,4,0.75,0.647,359.0,122.0,72.0,52.0,53.0,74.0,51.0,32.0,34.0,16.0,9.0,10.0
75,75,pop,Lesley Gore,60's Triple set,It's My Party,"New York, NY",136.48934,9,0.386,1,0.632,-9.091,129.122,1,0.0,0.229,118.0,72.0,57.0,59.0,52.0,50.0,19.0,24.0,13.0,7.0,2.0,3.0
76,76,0,Smartbomb,Yeah.  Well_ Anyway....,Complicate It,,233.27302,0,0.53,1,0.501,-2.658,132.022,4,0.782,0.386,263.0,101.0,65.0,76.0,61.0,80.0,25.0,36.0,23.0,25.0,9.0,10.0
77,77,0,Suburbs,Un Titre de Toune,Monde De Fou,Minnesota,187.24526,1,0.842,1,0.721,-4.42,183.92,1,0.063,0.107,250.0,67.0,36.0,37.0,36.0,99.0,27.0,85.0,15.0,2.0,2.0,0.0
78,78,black metal,Emperor,Live Inferno,Opus a Satana (Part 2),Norway,72.61995,9,0.0,0,0.0,-11.051,89.867,4,0.476,0.0,137.0,2.0,2.0,0.0,23.0,20.0,0.0,3.0,0.0,4.0,0.0,0.0
79,79,0,Julien Clerc,Vendredi 13 - 1981,This Melody (Live),FR,272.63955,2,0.633,1,0.605,-9.97,119.896,5,0.921,2.775,350.0,131.0,77.0,63.0,55.0,62.0,26.0,90.0,16.0,22.0,4.0,6.0
80,80,country,Glen Campbell,Unconditional Love,I'm Gone This Time,"Delight, AR",142.75873,1,0.62,0,0.814,-11.335,137.29,4,0.0,0.218,136.0,85.0,54.0,60.0,29.0,57.0,11.0,46.0,44.0,37.0,36.0,28.0
81,81,country,T.G. Sheppard,The Very Best Of,You Feel Good All Over,"Humboldt, TN",194.11546,5,1.0,1,0.886,-15.581,82.343,1,0.387,0.089,237.0,24.0,41.0,20.0,24.0,54.0,11.0,24.0,1.0,16.0,10.0,1.0
82,82,country,Slim Whitman,Country Lovers. Vol. 3,Indian Love Call,"Tampa, FL",195.91791,3,0.883,1,0.735,-11.98,91.487,4,0.0,0.165,249.0,66.0,46.0,44.0,18.0,27.0,17.0,32.0,27.0,4.0,18.0,8.0
83,83,alternative rock,Savage Garden,Affirmation,You Can Still Be Free,CA,118.33424,9,0.0,0,0.0,-11.215,84.69,5,0.678,0.0,133.0,35.0,65.0,5.0,11.0,20.0,3.0,28.0,2.0,19.0,2.0,0.0
84,84,alternative metal,Queens Of The Stone Age,Lullabies To Paralyze,I Never Came,,288.41751,2,0.08,1,0.665,-8.165,115.606,4,0.0,0.113,616.0,76.0,90.0,37.0,11.0,32.0,16.0,68.0,19.0,24.0,44.0,2.0
85,85,0,Hank Penny & The Lincoln Penny Orchestra,It's War Again,Dixie,"Birmingham, AL",123.21914,7,0.278,0,0.482,-12.69,126.523,1,0.0,1.001,89.0,60.0,34.0,31.0,45.0,126.0,15.0,14.0,14.0,3.0,12.0,4.0
86,86,rock,Inspiral Carpets,The Singles,Commercial Reign,"Manchester, England",283.76771,2,0.823,1,0.69,-8.7,113.677,4,1.0,0.0,246.0,59.0,142.0,112.0,49.0,116.0,22.0,64.0,12.0,10.0,8.0,6.0
87,87,hip hop,Borialis,What You Thought You Heard,Hourglass,,239.3073,2,0.569,1,0.601,-5.758,86.938,4,0.222,0.182,227.0,254.0,64.0,62.0,38.0,24.0,42.0,44.0,29.0,37.0,23.0,20.0
88,88,0,The Dirty Skirts,Daddy Don't Disco,Wake,,206.75873,0,0.613,1,0.656,-4.907,141.936,4,0.634,0.096,278.0,50.0,69.0,50.0,60.0,54.0,20.0,28.0,13.0,15.0,8.0,15.0
89,89,ranchera,Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,Caricia Y Herida,,134.81751,11,0.847,1,0.646,-8.133,106.049,1,0.0,0.0,169.0,94.0,28.0,32.0,36.0,42.0,30.0,43.0,26.0,21.0,15.0,6.0
90,90,east coast hip hop,Redman,Malpractice,WKYA (drop),"Newark, NJ",124.18567,1,0.074,0,0.492,-10.296,85.008,5,1.0,0.0,83.0,101.0,79.0,85.0,33.0,37.0,39.0,39.0,31.0,20.0,14.0,5.0
91,91,0,Eddie Cantor,The Fabulous Eddie Cantor,Now's The Time To Fall In Love,"New York, NY",155.61098,11,0.599,1,0.517,-13.71,118.975,1,0.003,0.154,103.0,62.0,47.0,46.0,39.0,100.0,21.0,27.0,28.0,18.0,20.0,9.0
92,92,breakcore,Schizoid,Grim Prospects Remixes - Grim Prospects Will Never End,Grim Prospects (Gross Prospects - Bad Trip Remix),,275.40853,9,0.376,1,0.334,-2.119,102.408,4,0.395,0.0,231.0,145.0,53.0,56.0,69.0,46.0,57.0,91.0,85.0,62.0,13.0,6.0
93,93,cool jazz,Kai Winding,The Incredible Kai Winding Trombones,Mangos,"Aarhus, Denmark",223.4771,0,0.0,1,0.138,-14.438,112.006,4,0.844,0.291,233.0,96.0,123.0,64.0,64.0,77.0,45.0,52.0,32.0,8.0,2.0,12.0
94,94,free jazz,Sonny Simmons,Staying on the Watch,A Distant Voice,"Sicily Island, LA",443.24526,1,0.0,1,0.051,-13.002,45.527,4,0.0,0.23,265.0,83.0,64.0,46.0,30.0,41.0,29.0,35.0,8.0,15.0,8.0,14.0
95,95,0,Mira,Openbare Weg,Openbare Weg,"Tallahassee, FL",177.81506,4,0.695,1,0.673,-12.004,85.621,4,0.612,0.554,216.0,54.0,58.0,25.0,33.0,62.0,6.0,20.0,16.0,9.0,11.0,3.0
96,96,electronic,Citizen Kaned,Tip World Singles 2000,President Johnson,,385.33179,8,0.822,0,0.503,-8.37,108.061,4,1.0,3.048,387.0,284.0,150.0,162.0,195.0,104.0,58.0,87.0,83.0,111.0,195.0,42.0
97,97,0,The Brooklyn Tabernacle Choir,Praise Him...Live!,Lead Me Lord,,324.44036,7,0.558,1,0.718,-11.829,216.195,5,1.0,0.0,305.0,52.0,62.0,31.0,35.0,30.0,3.0,51.0,8.0,7.0,3.0,9.0
98,98,blues,Ellen McIlwaine,Spontanous Combustion,Spontanous Combustion,"Nashville, TN",275.12118,7,0.699,1,0.527,-6.29,132.428,4,0.281,0.34,292.0,107.0,89.0,50.0,71.0,88.0,47.0,101.0,57.0,36.0,16.0,23.0
99,99,jazz,Vince Guaraldi / Bola Sete,From All Sides,Choro,"San Francisco, CA",294.66077,5,0.238,0,0.07,-15.761,168.307,4,0.0,0.864,251.0,181.0,143.0,156.0,62.0,93.0,47.0,107.0,90.0,62.0,70.0,8.0
100,100,0,Maurice Chevalier,Maurice Chevalier  The Essential Collection Vol 1,Ma Louise,"Menilmontant, France",193.20118,0,0.371,1,0.484,-27.433,140.956,7,0.866,0.497,124.0,97.0,107.0,55.0,72.0,55.0,22.0,28.0,12.0,26.0,9.0,9.0
101,101,acid house,Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,I Want You (Forever),,357.82485,1,0.485,1,0.427,-5.701,130.016,5,1.0,0.131,513.0,484.0,53.0,101.0,175.0,139.0,52.0,75.0,20.0,223.0,139.0,190.0
102,102,hip hop,Organized Konfusion,The Equinox,Hate,"SPRINGFIELD, Virginia",198.3473,11,0.306,0,0.22,-8.709,175.769,4,0.7,0.201,276.0,106.0,60.0,98.0,72.0,82.0,45.0,36.0,20.0,32.0,16.0,9.0
103,103,country,Martina McBride,Timeless,I Can't Stop Loving You,"Medicine Lodge, KS",261.95546,7,0.96,1,0.634,-13.627,100.194,3,1.0,0.0,274.0,59.0,82.0,55.0,40.0,41.0,10.0,46.0,14.0,23.0,10.0,4.0
104,104,reggae,Horace Andy,Feel Good All Over: Anthology 1970-1976,Thank You Lord,"Kingston, Jamaica",176.27383,2,0.171,1,0.239,-11.479,151.911,4,0.231,0.183,185.0,113.0,51.0,59.0,77.0,76.0,33.0,18.0,35.0,38.0,31.0,32.0
105,105,classic rock,Nazz,13th And Pine,How Can You Call That Beautiful (Stewkey Vocal),,220.89098,9,0.606,1,0.475,-6.302,119.691,4,0.491,0.0,226.0,96.0,51.0,27.0,39.0,57.0,13.0,63.0,7.0,8.0,7.0,5.0
