MB Genre,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
jazz,109.16526,7,0.914,1,0.772,-19.736,63.334,5,0.905,0.235,138.0,3.0,26.0,3.0,11.0,17.0,2.0,23.0,0.0,7.0,0.0,5.0
country,162.29832,9,0.542,1,0.52,-10.06,170.995,4,1.0,2.206,203.0,78.0,35.0,51.0,35.0,80.0,16.0,46.0,27.0,10.0,11.0,10.0
rock,190.79791,9,0.908,0,0.728,-6.066,140.052,4,0.725,0.0,320.0,50.0,34.0,10.0,12.0,52.0,7.0,21.0,13.0,25.0,4.0,21.0
hip hop,185.28608,1,0.238,1,0.491,-12.673,85.078,5,1.0,0.316,232.0,220.0,59.0,38.0,25.0,50.0,30.0,23.0,26.0,9.0,4.0,1.0
electronic,213.75955,3,0.311,1,0.361,-6.667,91.312,1,0.187,0.0,228.0,107.0,92.0,74.0,63.0,99.0,31.0,18.0,24.0,3.0,11.0,7.0
reggae,221.83138,3,0.838,0,0.695,-12.084,160.011,3,0.773,0.0,109.0,109.0,154.0,30.0,112.0,88.0,12.0,39.0,33.0,27.0,22.0,1.0
contemporary jazz,692.06159,0,0.68,1,0.481,-9.479,121.201,4,0.912,0.0,579.0,689.0,367.0,133.0,124.0,102.0,93.0,261.0,246.0,193.0,75.0,87.0
contemporary christian,210.70322,9,0.519,0,0.625,-12.22,111.379,4,0.984,0.403,174.0,41.0,142.0,22.0,19.0,69.0,10.0,55.0,13.0,24.0,11.0,9.0
blues,376.29342,9,0.963,1,0.663,-6.894,131.671,4,0.439,0.263,458.0,83.0,144.0,122.0,48.0,200.0,24.0,50.0,82.0,39.0,12.0,4.0
electro,389.25016,11,0.712,1,0.463,-2.991,85.322,1,0.169,0.2,506.0,79.0,109.0,277.0,51.0,199.0,20.0,160.0,37.0,42.0,215.0,14.0
latin,176.5873,5,0.297,1,0.281,-10.317,103.166,7,0.143,0.989,157.0,107.0,55.0,45.0,63.0,48.0,36.0,41.0,35.0,26.0,12.0,4.0
country,184.05832,5,0.161,1,0.578,-14.32,79.606,1,0.256,2.438,177.0,38.0,59.0,24.0,16.0,37.0,13.0,17.0,8.0,22.0,20.0,4.0
pop,309.002,5,0.397,0,0.415,-14.606,116.139,4,0.165,0.39,444.0,85.0,93.0,93.0,44.0,130.0,39.0,51.0,13.0,3.0,10.0,10.0
ambient,159.11138,1,0.687,1,0.669,-20.142,98.823,7,0.858,0.287,141.0,11.0,31.0,6.0,8.0,46.0,1.0,13.0,7.0,8.0,2.0,0.0
alternative rock,139.88526,11,0.127,1,0.33,-4.894,137.766,4,0.085,0.281,96.0,51.0,81.0,108.0,9.0,46.0,15.0,8.0,13.0,1.0,1.0,5.0
latin,309.96853,5,0.691,1,0.586,-5.129,93.961,3,1.0,0.137,312.0,245.0,94.0,85.0,196.0,196.0,83.0,146.0,36.0,58.0,38.0,13.0
alternative metal,208.95302,4,0.247,1,0.464,-6.052,105.095,4,0.873,3.245,335.0,56.0,24.0,59.0,42.0,38.0,4.0,82.0,22.0,2.0,22.0,14.0
electronic,243.25179,4,0.497,0,0.456,-6.883,135.072,4,0.578,0.363,284.0,140.0,92.0,114.0,106.0,30.0,28.0,46.0,6.0,11.0,18.0,10.0
country,126.95465,5,0.818,1,0.564,-13.159,95.95,4,0.92,0.398,144.0,87.0,48.0,24.0,34.0,51.0,3.0,20.0,9.0,24.0,9.0,4.0
electronic,167.49669,4,0.115,1,0.275,-10.469,86.999,4,0.638,0.193,124.0,108.0,83.0,98.0,47.0,129.0,75.0,45.0,47.0,21.0,13.0,15.0
alternative rock,344.842,11,0.569,0,0.556,-3.879,91.879,4,1.0,0.0,179.0,199.0,191.0,100.0,117.0,76.0,182.0,95.0,86.0,87.0,49.0,16.0
country,158.27546,8,0.735,1,0.714,-11.446,114.546,5,0.973,0.56,158.0,66.0,51.0,56.0,42.0,109.0,33.0,36.0,29.0,2.0,1.0,1.0
electronic,267.36281,0,0.002,1,0.243,-9.752,118.975,4,0.924,0.0,280.0,238.0,127.0,57.0,51.0,48.0,50.0,160.0,26.0,30.0,48.0,73.0
alternative rock,315.08853,7,0.768,1,0.631,-9.29,153.768,4,0.559,0.444,355.0,201.0,124.0,95.0,57.0,70.0,48.0,35.0,33.0,70.0,1.0,5.0
alternative rock,205.11302,7,0.126,1,0.624,-3.697,180.203,4,0.637,0.0,219.0,102.0,59.0,35.0,12.0,37.0,58.0,102.0,41.0,36.0,27.0,3.0
alternative rock,37.82485,9,0.092,1,0.578,-10.721,87.853,4,0.233,0.369,50.0,4.0,5.0,4.0,2.0,4.0,1.0,8.0,15.0,0.0,0.0,0.0
ambient,350.56281,10,0.726,0,0.576,-12.256,166.989,4,0.439,0.0,543.0,282.0,379.0,206.0,56.0,69.0,130.0,26.0,34.0,23.0,43.0,44.0
folk,288.49587,0,0.592,1,0.64,-13.915,240.983,3,0.69,0.164,356.0,61.0,76.0,23.0,58.0,61.0,13.0,43.0,11.0,31.0,4.0,31.0
blues,146.15465,1,0.255,1,0.523,-21.852,143.031,4,0.434,0.427,79.0,48.0,49.0,60.0,53.0,45.0,22.0,38.0,29.0,16.0,13.0,5.0
pop,308.63628,7,0.793,1,0.646,-10.997,128.205,4,0.6,0.316,355.0,75.0,148.0,51.0,47.0,86.0,13.0,56.0,11.0,28.0,4.0,5.0
blues,320.1824,9,0.709,1,0.616,-21.361,102.533,3,1.0,0.229,313.0,92.0,93.0,82.0,66.0,80.0,28.0,32.0,34.0,38.0,2.0,5.0
blues,315.92444,7,0.308,0,0.305,-10.381,103.377,3,1.0,2.119,557.0,107.0,69.0,55.0,66.0,121.0,25.0,25.0,8.0,18.0,12.0,4.0
black metal,552.35873,0,0.803,1,0.793,-7.15,122.799,4,0.57,0.177,534.0,209.0,213.0,167.0,249.0,293.0,146.0,174.0,33.0,77.0,33.0,41.0
blues rock,461.71383,1,0.979,0,0.711,-9.989,138.512,4,0.661,0.0,459.0,167.0,182.0,162.0,73.0,295.0,18.0,39.0,31.0,9.0,83.0,8.0
electronic,284.682,9,0.21,1,0.271,-15.118,160.038,3,0.872,0.165,298.0,199.0,37.0,34.0,37.0,48.0,18.0,23.0,21.0,24.0,6.0,11.0
hip hop,273.84118,11,0.068,1,0.468,-16.963,87.581,4,0.727,32.972,479.0,89.0,50.0,71.0,33.0,113.0,62.0,39.0,19.0,18.0,39.0,5.0
latin,242.28526,0,1.0,1,0.741,-12.384,88.343,4,0.863,0.189,267.0,147.0,79.0,71.0,115.0,79.0,98.0,150.0,24.0,26.0,28.0,32.0
dancehall,245.52444,10,0.009,0,0.29,-7.956,137.89,4,0.756,0.792,328.0,113.0,64.0,70.0,29.0,73.0,29.0,66.0,60.0,17.0,89.0,64.0
blues,233.7171,1,0.519,0,0.526,-7.382,149.317,4,0.862,4.708,291.0,45.0,80.0,44.0,24.0,125.0,12.0,11.0,11.0,21.0,43.0,10.0
pop,575.58159,1,0.827,1,0.61,-17.058,149.423,3,0.338,0.0,921.0,63.0,329.0,80.0,44.0,471.0,12.0,284.0,49.0,15.0,60.0,12.0
blues,329.35138,2,0.078,1,0.516,-17.816,139.905,4,0.289,2.844,472.0,38.0,95.0,67.0,34.0,86.0,14.0,127.0,9.0,16.0,3.0,3.0
contemporary r&b,296.09751,4,0.575,1,0.46,-9.163,84.821,4,1.0,0.136,369.0,113.0,144.0,134.0,56.0,138.0,24.0,93.0,50.0,12.0,67.0,28.0
alternative rock,211.87873,4,0.535,0,0.674,-4.309,152.457,4,0.143,0.0,210.0,45.0,24.0,25.0,32.0,34.0,14.0,22.0,3.0,6.0,2.0,34.0
soul,225.33179,10,0.203,1,0.401,-7.991,135.985,4,0.517,0.0,272.0,121.0,96.0,44.0,34.0,35.0,24.0,49.0,21.0,38.0,25.0,11.0
latin,262.24281,0,0.423,1,0.53,-8.285,130.513,3,0.438,0.218,341.0,103.0,83.0,61.0,34.0,69.0,17.0,44.0,9.0,12.0,6.0,14.0
classic rock,354.35057,4,0.457,0,0.455,-7.333,105.131,4,0.685,3.988,233.0,168.0,169.0,135.0,145.0,158.0,65.0,79.0,51.0,59.0,19.0,9.0
classical,227.94404,0,0.708,1,0.761,-10.242,84.001,1,0.979,3.901,268.0,41.0,64.0,23.0,71.0,77.0,12.0,73.0,8.0,39.0,6.0,31.0
blues rock,211.35628,11,0.492,0,0.493,-6.969,126.641,4,0.509,0.0,267.0,100.0,230.0,73.0,19.0,19.0,14.0,53.0,2.0,5.0,4.0,1.0
folk,295.60118,2,0.184,1,0.516,-16.678,99.959,4,0.375,2.392,234.0,87.0,106.0,178.0,118.0,98.0,14.0,59.0,33.0,23.0,8.0,3.0
folk,244.4273,4,0.76,1,0.851,-10.218,86.805,1,0.307,0.0,253.0,99.0,57.0,41.0,26.0,45.0,10.0,41.0,27.0,4.0,4.0,8.0
pop,202.4224,4,0.756,1,0.799,-24.057,103.47,4,1.0,0.554,241.0,32.0,40.0,42.0,20.0,33.0,9.0,35.0,16.0,7.0,20.0,3.0
alternative rock,246.46485,4,0.505,0,0.406,-11.936,103.145,3,1.0,6.711,209.0,137.0,76.0,59.0,57.0,48.0,42.0,19.0,16.0,23.0,18.0,22.0
blues,294.76526,4,0.831,1,0.608,-14.845,92.32,3,0.546,2.305,228.0,123.0,49.0,49.0,35.0,47.0,36.0,61.0,31.0,12.0,9.0,22.0
alternative rock,231.73179,2,0.182,1,0.276,-6.378,110.071,4,0.762,0.305,224.0,111.0,57.0,31.0,26.0,105.0,57.0,40.0,39.0,27.0,25.0,13.0
alternative rock,222.32771,9,0.483,1,0.472,-6.611,88.024,4,0.864,0.328,284.0,106.0,65.0,73.0,34.0,80.0,25.0,55.0,62.0,21.0,13.0,6.0
electronic,247.66649,7,0.447,1,0.508,-5.963,132.892,4,0.398,0.48,212.0,163.0,148.0,41.0,74.0,50.0,44.0,100.0,124.0,110.0,6.0,9.0
country,236.56444,9,0.373,1,0.606,-8.961,91.739,5,0.558,0.257,174.0,72.0,81.0,46.0,22.0,33.0,14.0,33.0,12.0,14.0,12.0,3.0
electronic,321.64526,0,0.489,1,0.509,-7.717,119.331,4,0.67,0.0,814.0,410.0,33.0,78.0,130.0,51.0,132.0,83.0,9.0,25.0,314.0,116.0
ambient,189.70077,6,0.438,1,0.511,-12.1,119.683,3,1.0,0.0,197.0,15.0,102.0,82.0,5.0,67.0,4.0,30.0,3.0,1.0,4.0,1.0
folk rock,147.93098,0,0.904,1,0.713,-8.774,181.368,4,0.35,2.305,224.0,47.0,24.0,45.0,47.0,57.0,14.0,103.0,17.0,22.0,15.0,17.0
hip hop,129.69751,10,0.27,0,0.435,-5.995,92.236,4,0.775,0.258,144.0,161.0,40.0,30.0,41.0,49.0,40.0,38.0,27.0,21.0,7.0,0.0
electronic,201.42975,0,0.023,0,0.306,-12.396,173.903,4,0.767,0.282,272.0,225.0,79.0,47.0,120.0,59.0,28.0,52.0,26.0,33.0,8.0,11.0
hip hop,247.01342,11,0.05,0,0.195,-6.08,114.072,5,0.583,0.0,265.0,288.0,159.0,103.0,83.0,93.0,76.0,42.0,24.0,31.0,21.0,9.0
hip hop,397.5571,6,0.042,1,0.529,-8.74,107.022,4,1.0,0.34,662.0,441.0,159.0,170.0,135.0,128.0,74.0,136.0,73.0,67.0,64.0,7.0
country,252.682,5,0.812,1,0.691,-12.239,112.781,4,1.0,2.328,212.0,62.0,49.0,40.0,64.0,201.0,23.0,28.0,15.0,28.0,26.0,21.0
black metal,300.82567,9,0.458,1,0.516,-7.681,96.679,5,0.516,0.096,328.0,125.0,106.0,139.0,76.0,127.0,41.0,69.0,105.0,53.0,37.0,7.0
heavy metal,301.06077,3,0.569,1,0.591,-4.144,143.97,4,0.456,0.0,472.0,62.0,99.0,35.0,36.0,56.0,29.0,52.0,10.0,9.0,8.0,6.0
blues,332.45995,2,1.0,1,0.637,-13.607,159.869,4,0.809,0.264,377.0,260.0,155.0,113.0,54.0,80.0,44.0,71.0,20.0,14.0,3.0,8.0
folk,297.56036,0,0.846,1,0.696,-6.642,77.39,3,1.0,0.229,448.0,123.0,122.0,78.0,126.0,94.0,75.0,130.0,18.0,38.0,12.0,19.0
ambient,405.41995,11,0.545,1,0.508,-7.495,92.699,5,0.78,6.153,768.0,302.0,116.0,143.0,110.0,67.0,47.0,112.0,45.0,73.0,167.0,37.0
black metal,340.4273,5,0.092,1,0.366,-5.298,127.585,4,0.552,0.113,140.0,88.0,51.0,47.0,57.0,63.0,49.0,64.0,10.0,6.0,22.0,25.0
alternative rock,270.47138,2,0.886,1,0.678,-2.512,157.739,4,0.224,0.183,299.0,149.0,34.0,24.0,33.0,38.0,25.0,62.0,68.0,12.0,2.0,2.0
alternative metal,237.19138,7,0.012,1,0.397,-2.76,95.953,4,0.762,0.0,191.0,194.0,138.0,56.0,30.0,70.0,32.0,48.0,45.0,19.0,10.0,7.0
jazz,172.25098,3,0.013,1,0.428,-12.917,56.977,4,0.872,2.456,133.0,56.0,51.0,35.0,14.0,29.0,6.0,16.0,14.0,7.0,15.0,1.0
alternative rock,348.02893,9,0.771,1,0.67,-8.022,95.787,4,0.958,0.189,443.0,89.0,100.0,63.0,40.0,95.0,29.0,71.0,50.0,26.0,28.0,14.0
pop,209.60608,9,0.651,1,0.604,-13.551,117.316,4,0.284,0.082,278.0,37.0,50.0,18.0,24.0,88.0,3.0,86.0,11.0,4.0,2.0,1.0
ambient,798.1971,0,0.243,1,0.392,-16.183,134.291,4,0.417,12.864,1334.0,274.0,345.0,136.0,169.0,131.0,25.0,306.0,54.0,169.0,6.0,63.0
electro,202.762,7,0.117,1,0.467,-14.525,97.997,5,1.0,0.0,161.0,262.0,124.0,49.0,90.0,142.0,109.0,117.0,50.0,20.0,58.0,9.0
country,343.37914,2,0.452,1,0.696,-9.193,124.343,4,0.645,0.0,474.0,86.0,86.0,82.0,43.0,81.0,17.0,46.0,49.0,18.0,13.0,19.0
latin,193.35791,9,0.244,0,0.255,-10.844,137.941,4,0.201,0.241,278.0,211.0,55.0,64.0,58.0,42.0,45.0,19.0,42.0,58.0,15.0,4.0
electronic,242.28526,9,0.438,0,0.521,-13.459,120.059,3,1.0,0.374,312.0,49.0,16.0,98.0,108.0,34.0,6.0,16.0,1.0,5.0,0.0,1.0
hip hop,110.57587,3,0.582,1,0.471,-7.1,128.116,3,1.0,0.0,57.0,74.0,64.0,71.0,98.0,29.0,11.0,4.0,3.0,3.0,7.0,0.0
blues rock,203.7024,7,0.038,1,0.435,-6.548,123.522,4,1.0,0.0,282.0,80.0,53.0,26.0,59.0,48.0,53.0,57.0,9.0,43.0,2.0,0.0
classical,164.362,7,0.766,1,0.613,-18.524,122.423,4,1.0,0.0,213.0,93.0,66.0,35.0,58.0,43.0,15.0,35.0,17.0,17.0,6.0,16.0
latin,178.25914,9,0.871,1,0.441,-10.509,77.788,4,0.365,0.0,191.0,63.0,76.0,31.0,71.0,39.0,16.0,42.0,12.0,31.0,2.0,18.0
electronic,225.20118,10,0.489,1,0.394,-3.198,142.946,5,0.612,0.104,182.0,106.0,124.0,48.0,93.0,125.0,42.0,30.0,26.0,24.0,59.0,40.0
alternative rock,293.66812,6,0.392,0,0.783,-5.21,85.141,4,0.327,2.351,260.0,100.0,76.0,50.0,44.0,90.0,40.0,56.0,37.0,11.0,10.0,6.0
hip hop,153.57342,2,0.166,1,0.36,-14.122,108.301,4,1.0,0.374,255.0,132.0,98.0,44.0,25.0,32.0,38.0,31.0,37.0,26.0,45.0,7.0
country,251.37587,0,0.335,1,0.418,-10.85,126.533,4,0.089,2.914,241.0,140.0,127.0,49.0,72.0,171.0,20.0,34.0,20.0,28.0,36.0,22.0
electronic,297.16853,3,0.376,0,0.473,-10.786,125.984,4,1.0,0.0,328.0,71.0,221.0,110.0,26.0,79.0,6.0,56.0,34.0,30.0,15.0,2.0
pop,238.41914,5,0.503,1,0.424,-7.404,123.81,5,0.62,0.183,253.0,195.0,116.0,98.0,127.0,112.0,90.0,31.0,30.0,47.0,56.0,7.0
electronic,52.4273,8,0.505,1,0.455,-18.604,110.048,4,0.114,0.232,33.0,24.0,21.0,11.0,10.0,26.0,12.0,6.0,9.0,10.0,4.0,2.0
latin,167.70567,2,0.102,0,0.224,-16.275,104.284,5,0.575,0.183,231.0,39.0,115.0,28.0,48.0,70.0,18.0,62.0,25.0,39.0,5.0,10.0
reggae,193.72363,1,0.931,1,0.565,-12.087,118.123,4,0.205,0.173,119.0,87.0,86.0,74.0,36.0,134.0,38.0,22.0,66.0,18.0,64.0,43.0
country,125.33506,10,0.728,1,0.709,-10.609,100.06,4,0.681,0.42,141.0,25.0,55.0,39.0,21.0,83.0,8.0,19.0,11.0,8.0,8.0,2.0
country,290.97751,7,0.738,1,0.877,-15.546,121.773,4,1.0,0.177,485.0,70.0,26.0,27.0,39.0,64.0,21.0,34.0,2.0,14.0,0.0,1.0
pop,211.53914,11,0.619,0,0.617,-4.618,102.034,4,1.0,0.062,194.0,168.0,110.0,106.0,65.0,75.0,72.0,80.0,35.0,26.0,34.0,8.0
hip hop,238.47138,5,0.668,1,0.509,-3.947,183.58,1,0.795,0.0,275.0,199.0,146.0,62.0,96.0,116.0,73.0,42.0,8.0,5.0,11.0,3.0
indie rock,232.12363,7,0.135,1,0.338,-11.319,187.66,4,0.353,0.253,254.0,88.0,113.0,17.0,18.0,38.0,13.0,40.0,12.0,78.0,26.0,44.0
hip hop,303.04608,9,0.091,1,0.271,-7.212,90.02,4,0.743,0.0,323.0,199.0,169.0,100.0,109.0,96.0,73.0,68.0,56.0,67.0,59.0,78.0
alternative rock,279.14404,7,0.842,1,0.766,-11.49,146.037,4,0.552,0.438,403.0,25.0,122.0,59.0,52.0,37.0,4.0,138.0,0.0,21.0,0.0,12.0
hip hop,163.10812,4,0.574,0,0.478,-5.347,63.198,5,0.308,0.299,181.0,117.0,87.0,79.0,91.0,29.0,20.0,40.0,11.0,6.0,1.0,15.0
country,157.12608,9,0.426,1,0.414,-14.626,89.71,1,0.811,0.306,77.0,89.0,47.0,86.0,63.0,40.0,24.0,26.0,31.0,25.0,4.0,6.0
hip hop,291.7873,2,0.745,1,0.617,-6.274,64.034,1,0.609,0.421,240.0,252.0,158.0,112.0,125.0,81.0,91.0,73.0,73.0,38.0,52.0,8.0
pop,169.27302,9,0.8,1,0.545,-20.088,163.081,4,0.213,0.484,217.0,36.0,69.0,42.0,29.0,69.0,10.0,31.0,29.0,20.0,15.0,15.0
blues,197.0673,2,0.008,1,0.358,-15.163,130.889,4,0.205,0.0,182.0,72.0,44.0,54.0,33.0,35.0,38.0,36.0,20.0,16.0,0.0,0.0
gospel,358.71302,10,0.374,0,0.407,-20.284,124.194,7,0.956,0.0,224.0,296.0,206.0,165.0,103.0,102.0,83.0,71.0,54.0,50.0,49.0,22.0
